CPU: ID 0x206a7, Processor Type 0x0, Family 0x6, Model 0x2a, Stepping 0x7
Northbridge: 8086:0104 (2nd generation (Sandy Bridge family) Core Processor (Mobile))
Southbridge: 8086:1c49 (HM65)
IGD: 8086:0126 (Intel(R) HD 3000 Graphics)

============= GPIOS =============

GPIOBASE = 0x0500 (IO)

gpiobase+0x0000: 0x39e3eddf (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x80884c20 (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0x86bde7de (GP_IO_SEL)
gpiobase+0x0004: 0xf6ff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0x70428921 (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0xe1f7f7de (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0xe309f6de (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00000000 (GPO_BLINK)
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DEFAULT
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DIFF
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0010     (GPI_NMI_EN)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN) DEFAULT
gpiobase+0x0028: 0x0010     (GPI_NMI_EN) DIFF
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x00006cca (GPI_INV)
gpiobase+0x002c: 0x00000000 (GPI_INV) DEFAULT
gpiobase+0x002c: 0x00006cca (GPI_INV) DIFF
gpiobase+0x0030: 0x32ff50fe (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300fe (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0x30fc5000 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x0dddffc4 (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x128a0030 (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xfffcefc4 (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x5b56efc3 (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x000007f0 (GPIO_USE_SEL3)
gpiobase+0x0040: 0x00000030 (GPIO_USE_SEL3) DEFAULT
gpiobase+0x0040: 0x000007c0 (GPIO_USE_SEL3) DIFF
gpiobase+0x0044: 0x00000820 (GP_IO_SEL3)
gpiobase+0x0044: 0x00000ff0 (GP_IO_SEL3) DEFAULT
gpiobase+0x0044: 0x000007d0 (GP_IO_SEL3) DIFF
gpiobase+0x0048: 0x00000eff (GPIO_LVL3)
gpiobase+0x0048: 0x000000c0 (GPIO_LVL3) DEFAULT
gpiobase+0x0048: 0x00000e3f (GPIO_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x41000000 (GP_RST_SEL1)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DEFAULT
gpiobase+0x0060: 0x40000000 (GP_RST_SEL1) DIFF
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3)
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
0x04d6a4: 0x00010000
0x04d6a8: 0x00010000
0x04d6ac: 0x00010000
0x04d6b0: 0x00010001
0x04d6b4: 0x00010000
0x04d6b8: 0x00010000
0x04d6bc: 0x00010000
0x04d6c0: 0x80010000
0x04d6c4: 0x0001014a
0x04d6c8: 0x80010000
0x04d6cc: 0x0001014a
0x04d6d0: 0x80010000
0x04d6d4: 0x0001014a
0x04d6d8: 0x80010000
0x04d6dc: 0x0001014a
0x04d6e0: 0x00010001
0x04d6e4: 0x00010000
0x04d6e8: 0x00010000
0x04d6ec: 0x00010000
0x04d6f0: 0x00010001
0x04d6f4: 0x00010000
0x04d6f8: 0x00010000
0x04d6fc: 0x00010000
0x04d700: 0x80010000
0x04d704: 0x0001014a
0x04d708: 0x80010000
0x04d70c: 0x0001014a
0x04d710: 0x80010000
0x04d714: 0x0001014a
0x04d718: 0x80010000
0x04d71c: 0x0001014a
0x04d720: 0x00010001
0x04d724: 0x00010000
0x04d728: 0x00010000
0x04d72c: 0x00010000
0x04d730: 0x00010001
0x04d734: 0x00010000
0x04d738: 0x00010000
0x04d73c: 0x00010000
0x04d740: 0x80010000
0x04d744: 0x0001014a
0x04d748: 0x80010000
0x04d74c: 0x0001014a
0x04d750: 0x80010000
0x04d754: 0x0001014a
0x04d758: 0x80010000
0x04d75c: 0x0001014a
0x04d760: 0x00010001
0x04d764: 0x00010000
0x04d768: 0x00010000
0x04d76c: 0x00010000
0x04d770: 0x00010001
0x04d774: 0x00010000
0x04d778: 0x00010000
0x04d77c: 0x00010000
0x04d780: 0x80010000
0x04d784: 0x0001014a
0x04d788: 0x80010000
0x04d78c: 0x0001014a
0x04d790: 0x80010000
0x04d794: 0x0001014a
0x04d798: 0x80010000
0x04d79c: 0x0001014a
0x04d7a0: 0x00010001
0x04d7a4: 0x00010000
0x04d7a8: 0x00010000
0x04d7ac: 0x00010000
0x04d7b0: 0x00010001
0x04d7b4: 0x00010000
0x04d7b8: 0x00010000
0x04d7bc: 0x00010000
0x04d7c0: 0x80010000
0x04d7c4: 0x0001014a
0x04d7c8: 0x80010000
0x04d7cc: 0x0001014a
0x04d7d0: 0x80010000
0x04d7d4: 0x0001014a
0x04d7d8: 0x80010000
0x04d7dc: 0x0001014a
0x04d7e0: 0x00010001
0x04d7e4: 0x00010000
0x04d7e8: 0x00010000
0x04d7ec: 0x00010000
0x04d7f0: 0x00010001
0x04d7f4: 0x00010000
0x04d7f8: 0x00010000
0x04d7fc: 0x00010000
0x04d800: 0x00010000
0x04d804: 0x00010000
0x04d808: 0x00010000
0x04d80c: 0x00010000
0x04d810: 0x00010000
0x04d814: 0x00010000
0x04d818: 0x00010000
0x04d81c: 0x00010000
0x04d820: 0x00010000
0x04d824: 0x00010000
0x04d828: 0x00010000
0x04d82c: 0x00010000
0x04d830: 0x00010000
0x04d834: 0x00010000
0x04d838: 0x00010000
0x04d83c: 0x00010000
0x04d840: 0x00010000
0x04d844: 0x00010000
0x04d848: 0x00010000
0x04d84c: 0x00010000
0x04d850: 0x00010000
0x04d854: 0x00010000
0x04d858: 0x00010000
0x04d85c: 0x00010000
0x04d860: 0x00010000
0x04d864: 0x00010000
0x04d868: 0x00010000
0x04d86c: 0x00010000
0x04d870: 0x00010000
0x04d874: 0x00010000
0x04d878: 0x00010000
0x04d87c: 0x00010000
0x04d880: 0x00010000
0x04d884: 0x00010000
0x04d888: 0x00010000
0x04d88c: 0x00010000
0x04d890: 0x00010000
0x04d894: 0x00010000
0x04d898: 0x00010000
0x04d89c: 0x00010000
0x04d8a0: 0x00010000
0x04d8a4: 0x00010000
0x04d8a8: 0x00010000
0x04d8ac: 0x00010000
0x04d8b0: 0x00010000
0x04d8b4: 0x00010000
0x04d8b8: 0x00010000
0x04d8bc: 0x00010000
0x04d8c0: 0x00010000
0x04d8c4: 0x00010000
0x04d8c8: 0x00010000
0x04d8cc: 0x00010000
0x04d8d0: 0x00010000
0x04d8d4: 0x00010000
0x04d8d8: 0x00010000
0x04d8dc: 0x00010000
0x04d8e0: 0x00010000
0x04d8e4: 0x00010000
0x04d8e8: 0x00010000
0x04d8ec: 0x00010000
0x04d8f0: 0x00010000
0x04d8f4: 0x00010000
0x04d8f8: 0x00010000
0x04d8fc: 0x00010000
0x04d900: 0x00010000
0x04d904: 0x00010000
0x04d908: 0x00010000
0x04d90c: 0x00010000
0x04d910: 0x00010000
0x04d914: 0x00010000
0x04d918: 0x00010000
0x04d91c: 0x00010000
0x04d920: 0x00010000
0x04d924: 0x00010000
0x04d928: 0x00010000
0x04d92c: 0x00010000
0x04d930: 0x00010000
0x04d934: 0x00010000
0x04d938: 0x00010000
0x04d93c: 0x00010000
0x04d940: 0x00010000
0x04d944: 0x00010000
0x04d948: 0x00010000
0x04d94c: 0x00010000
0x04d950: 0x00010000
0x04d954: 0x00010000
0x04d958: 0x00010000
0x04d95c: 0x00010000
0x04d960: 0x00010000
0x04d964: 0x00010000
0x04d968: 0x00010000
0x04d96c: 0x00010000
0x04d970: 0x00010000
0x04d974: 0x00010000
0x04d978: 0x00010000
0x04d97c: 0x00010000
0x04d980: 0x00010000
0x04d984: 0x00010000
0x04d988: 0x00010000
0x04d98c: 0x00010000
0x04d990: 0x00010000
0x04d994: 0x00010000
0x04d998: 0x00010000
0x04d99c: 0x00010000
0x04d9a0: 0x00010000
0x04d9a4: 0x00010000
0x04d9a8: 0x00010000
0x04d9ac: 0x00010000
0x04d9b0: 0x00010000
0x04d9b4: 0x00010000
0x04d9b8: 0x00010000
0x04d9bc: 0x00010000
0x04d9c0: 0x00010000
0x04d9c4: 0x00010000
0x04d9c8: 0x00010000
0x04d9cc: 0x00010000
0x04d9d0: 0x00010000
0x04d9d4: 0x00010000
0x04d9d8: 0x00010000
0x04d9dc: 0x00010000
0x04d9e0: 0x00010000
0x04d9e4: 0x00010000
0x04d9e8: 0x00010000
0x04d9ec: 0x00010000
0x04d9f0: 0x00010000
0x04d9f4: 0x00010000
0x04d9f8: 0x00010000
0x04d9fc: 0x00010000
0x04da00: 0x80010000
0x04da04: 0x0001014a
0x04da08: 0x80010000
0x04da0c: 0x0001014a
0x04da10: 0x80010000
0x04da14: 0x0001014a
0x04da18: 0x80010000
0x04da1c: 0x0001014a
0x04da20: 0x00010001
0x04da24: 0x00010000
0x04da28: 0x00010000
0x04da2c: 0x00010000
0x04da30: 0x00010001
0x04da34: 0x00010000
0x04da38: 0x00010000
0x04da3c: 0x00010000
0x04da40: 0x80010000
0x04da44: 0x0001014a
0x04da48: 0x80010000
0x04da4c: 0x0001014a
0x04da50: 0x80010000
0x04da54: 0x0001014a
0x04da58: 0x80010000
0x04da5c: 0x0001014a
0x04da60: 0x00010001
0x04da64: 0x00010000
0x04da68: 0x00010000
0x04da6c: 0x00010000
0x04da70: 0x00010001
0x04da74: 0x00010000
0x04da78: 0x00010000
0x04da7c: 0x00010000
0x04da80: 0x80010000
0x04da84: 0x0001014a
0x04da88: 0x80010000
0x04da8c: 0x0001014a
0x04da90: 0x80010000
0x04da94: 0x0001014a
0x04da98: 0x80010000
0x04da9c: 0x0001014a
0x04daa0: 0x00010001
0x04daa4: 0x00010000
0x04daa8: 0x00010000
0x04daac: 0x00010000
0x04dab0: 0x00010001
0x04dab4: 0x00010000
0x04dab8: 0x00010000
0x04dabc: 0x00010000
0x04dac0: 0x80010000
0x04dac4: 0x0001014a
0x04dac8: 0x80010000
0x04dacc: 0x0001014a
0x04dad0: 0x80010000
0x04dad4: 0x0001014a
0x04dad8: 0x80010000
0x04dadc: 0x0001014a
0x04dae0: 0x00010001
0x04dae4: 0x00010000
0x04dae8: 0x00010000
0x04daec: 0x00010000
0x04daf0: 0x00010001
0x04daf4: 0x00010000
0x04daf8: 0x00010000
0x04dafc: 0x00010000
0x04db00: 0x80010000
0x04db04: 0x0001014a
0x04db08: 0x80010000
0x04db0c: 0x0001014a
0x04db10: 0x80010000
0x04db14: 0x0001014a
0x04db18: 0x80010000
0x04db1c: 0x0001014a
0x04db20: 0x00010001
0x04db24: 0x00010000
0x04db28: 0x00010000
0x04db2c: 0x00010000
0x04db30: 0x00010001
0x04db34: 0x00010000
0x04db38: 0x00010000
0x04db3c: 0x00010000
0x04db40: 0x80010000
0x04db44: 0x0001014a
0x04db48: 0x80010000
0x04db4c: 0x0001014a
0x04db50: 0x80010000
0x04db54: 0x0001014a
0x04db58: 0x80010000
0x04db5c: 0x0001014a
0x04db60: 0x00010001
0x04db64: 0x00010000
0x04db68: 0x00010000
0x04db6c: 0x00010000
0x04db70: 0x00010001
0x04db74: 0x00010000
0x04db78: 0x00010000
0x04db7c: 0x00010000
0x04db80: 0x80010000
0x04db84: 0x0001014a
0x04db88: 0x80010000
0x04db8c: 0x0001014a
0x04db90: 0x80010000
0x04db94: 0x0001014a
0x04db98: 0x80010000
0x04db9c: 0x0001014a
0x04dba0: 0x00010001
0x04dba4: 0x00010000
0x04dba8: 0x00010000
0x04dbac: 0x00010000
0x04dbb0: 0x00010001
0x04dbb4: 0x00010000
0x04dbb8: 0x00010000
0x04dbbc: 0x00010000
0x04dbc0: 0x80010000
0x04dbc4: 0x0001014a
0x04dbc8: 0x80010000
0x04dbcc: 0x0001014a
0x04dbd0: 0x80010000
0x04dbd4: 0x0001014a
0x04dbd8: 0x80010000
0x04dbdc: 0x0001014a
0x04dbe0: 0x00010001
0x04dbe4: 0x00010000
0x04dbe8: 0x00010000
0x04dbec: 0x00010000
0x04dbf0: 0x00010001
0x04dbf4: 0x00010000
0x04dbf8: 0x00010000
0x04dbfc: 0x00010000
0x04dc00: 0x00010000
0x04dc04: 0x00010000
0x04dc08: 0x00010000
0x04dc0c: 0x00010000
0x04dc10: 0x00010000
0x04dc14: 0x00010000
0x04dc18: 0x00010000
0x04dc1c: 0x00010000
0x04dc20: 0x00010000
0x04dc24: 0x00010000
0x04dc28: 0x00010000
0x04dc2c: 0x00010000
0x04dc30: 0x00010000
0x04dc34: 0x00010000
0x04dc38: 0x00010000
0x04dc3c: 0x00010000
0x04dc40: 0x00010000
0x04dc44: 0x00010000
0x04dc48: 0x00010000
0x04dc4c: 0x00010000
0x04dc50: 0x00010000
0x04dc54: 0x00010000
0x04dc58: 0x00010000
0x04dc5c: 0x00010000
0x04dc60: 0x00010000
0x04dc64: 0x00010000
0x04dc68: 0x00010000
0x04dc6c: 0x00010000
0x04dc70: 0x00010000
0x04dc74: 0x00010000
0x04dc78: 0x00010000
0x04dc7c: 0x00010000
0x04dc80: 0x00010000
0x04dc84: 0x00010000
0x04dc88: 0x00010000
0x04dc8c: 0x00010000
0x04dc90: 0x00010000
0x04dc94: 0x00010000
0x04dc98: 0x00010000
0x04dc9c: 0x00010000
0x04dca0: 0x00010000
0x04dca4: 0x00010000
0x04dca8: 0x00010000
0x04dcac: 0x00010000
0x04dcb0: 0x00010000
0x04dcb4: 0x00010000
0x04dcb8: 0x00010000
0x04dcbc: 0x00010000
0x04dcc0: 0x00010000
0x04dcc4: 0x00010000
0x04dcc8: 0x00010000
0x04dccc: 0x00010000
0x04dcd0: 0x00010000
0x04dcd4: 0x00010000
0x04dcd8: 0x00010000
0x04dcdc: 0x00010000
0x04dce0: 0x00010000
0x04dce4: 0x00010000
0x04dce8: 0x00010000
0x04dcec: 0x00010000
0x04dcf0: 0x00010000
0x04dcf4: 0x00010000
0x04dcf8: 0x00010000
0x04dcfc: 0x00010000
0x04dd00: 0x00010000
0x04dd04: 0x00010000
0x04dd08: 0x00010000
0x04dd0c: 0x00010000
0x04dd10: 0x00010000
0x04dd14: 0x00010000
0x04dd18: 0x00010000
0x04dd1c: 0x00010000
0x04dd20: 0x00010000
0x04dd24: 0x00010000
0x04dd28: 0x00010000
0x04dd2c: 0x00010000
0x04dd30: 0x00010000
0x04dd34: 0x00010000
0x04dd38: 0x00010000
0x04dd3c: 0x00010000
0x04dd40: 0x00010000
0x04dd44: 0x00010000
0x04dd48: 0x00010000
0x04dd4c: 0x00010000
0x04dd50: 0x00010000
0x04dd54: 0x00010000
0x04dd58: 0x00010000
0x04dd5c: 0x00010000
0x04dd60: 0x00010000
0x04dd64: 0x00010000
0x04dd68: 0x00010000
0x04dd6c: 0x00010000
0x04dd70: 0x00010000
0x04dd74: 0x00010000
0x04dd78: 0x00010000
0x04dd7c: 0x00010000
0x04dd80: 0x00010000
0x04dd84: 0x00010000
0x04dd88: 0x00010000
0x04dd8c: 0x00010000
0x04dd90: 0x00010000
0x04dd94: 0x00010000
0x04dd98: 0x00010000
0x04dd9c: 0x00010000
0x04dda0: 0x00010000
0x04dda4: 0x00010000
0x04dda8: 0x00010000
0x04ddac: 0x00010000
0x04ddb0: 0x00010000
0x04ddb4: 0x00010000
0x04ddb8: 0x00010000
0x04ddbc: 0x00010000
0x04ddc0: 0x00010000
0x04ddc4: 0x00010000
0x04ddc8: 0x00010000
0x04ddcc: 0x00010000
0x04ddd0: 0x00010000
0x04ddd4: 0x00010000
0x04ddd8: 0x00010000
0x04dddc: 0x00010000
0x04dde0: 0x00010000
0x04dde4: 0x00010000
0x04dde8: 0x00010000
0x04ddec: 0x00010000
0x04ddf0: 0x00010000
0x04ddf4: 0x00010000
0x04ddf8: 0x00010000
0x04ddfc: 0x00010000
0x04de00: 0x80010000
0x04de04: 0x0001014a
0x04de08: 0x80010000
0x04de0c: 0x0001014a
0x04de10: 0x80010000
0x04de14: 0x0001014a
0x04de18: 0x80010000
0x04de1c: 0x0001014a
0x04de20: 0x00010001
0x04de24: 0x00010000
0x04de28: 0x00010000
0x04de2c: 0x00010000
0x04de30: 0x00010001
0x04de34: 0x00010000
0x04de38: 0x00010000
0x04de3c: 0x00010000
0x04de40: 0x80010000
0x04de44: 0x0001014a
0x04de48: 0x80010000
0x04de4c: 0x0001014a
0x04de50: 0x80010000
0x04de54: 0x0001014a
0x04de58: 0x80010000
0x04de5c: 0x0001014a
0x04de60: 0x00010001
0x04de64: 0x00010000
0x04de68: 0x00010000
0x04de6c: 0x00010000
0x04de70: 0x00010001
0x04de74: 0x00010000
0x04de78: 0x00010000
0x04de7c: 0x00010000
0x04de80: 0x80010000
0x04de84: 0x0001014a
0x04de88: 0x80010000
0x04de8c: 0x0001014a
0x04de90: 0x80010000
0x04de94: 0x0001014a
0x04de98: 0x80010000
0x04de9c: 0x0001014a
0x04dea0: 0x00010001
0x04dea4: 0x00010000
0x04dea8: 0x00010000
0x04deac: 0x00010000
0x04deb0: 0x00010001
0x04deb4: 0x00010000
0x04deb8: 0x00010000
0x04debc: 0x00010000
0x04dec0: 0x80010000
0x04dec4: 0x0001014a
0x04dec8: 0x80010000
0x04decc: 0x0001014a
0x04ded0: 0x80010000
0x04ded4: 0x0001014a
0x04ded8: 0x80010000
0x04dedc: 0x0001014a
0x04dee0: 0x00010001
0x04dee4: 0x00010000
0x04dee8: 0x00010000
0x04deec: 0x00010000
0x04def0: 0x00010001
0x04def4: 0x00010000
0x04def8: 0x00010000
0x04defc: 0x00010000
0x04df00: 0x80010000
0x04df04: 0x0001014a
0x04df08: 0x80010000
0x04df0c: 0x0001014a
0x04df10: 0x80010000
0x04df14: 0x0001014a
0x04df18: 0x80010000
0x04df1c: 0x0001014a
0x04df20: 0x00010001
0x04df24: 0x00010000
0x04df28: 0x00010000
0x04df2c: 0x00010000
0x04df30: 0x00010001
0x04df34: 0x00010000
0x04df38: 0x00010000
0x04df3c: 0x00010000
0x04df40: 0x80010000
0x04df44: 0x0001014a
0x04df48: 0x80010000
0x04df4c: 0x0001014a
0x04df50: 0x80010000
0x04df54: 0x0001014a
0x04df58: 0x80010000
0x04df5c: 0x0001014a
0x04df60: 0x00010001
0x04df64: 0x00010000
0x04df68: 0x00010000
0x04df6c: 0x00010000
0x04df70: 0x00010001
0x04df74: 0x00010000
0x04df78: 0x00010000
0x04df7c: 0x00010000
0x04df80: 0x80010000
0x04df84: 0x0001014a
0x04df88: 0x80010000
0x04df8c: 0x0001014a
0x04df90: 0x80010000
0x04df94: 0x0001014a
0x04df98: 0x80010000
0x04df9c: 0x0001014a
0x04dfa0: 0x00010001
0x04dfa4: 0x00010000
0x04dfa8: 0x00010000
0x04dfac: 0x00010000
0x04dfb0: 0x00010001
0x04dfb4: 0x00010000
0x04dfb8: 0x00010000
0x04dfbc: 0x00010000
0x04dfc0: 0x80010000
0x04dfc4: 0x0001014a
0x04dfc8: 0x80010000
0x04dfcc: 0x0001014a
0x04dfd0: 0x80010000
0x04dfd4: 0x0001014a
0x04dfd8: 0x80010000
0x04dfdc: 0x0001014a
0x04dfe0: 0x00010001
0x04dfe4: 0x00010000
0x04dfe8: 0x00010000
0x04dfec: 0x00010000
0x04dff0: 0x00010001
0x04dff4: 0x00010000
0x04dff8: 0x00010000
0x04dffc: 0x00010000
0x04e004: 0x00000100
0x04e008: 0x00000002
0x04e010: 0x0000003e
0x04e10c: 0x00020000
0x04e11c: 0x00020000
0x04f000: 0x03000400
0x04f040: 0x01000008
0x04f044: 0x00001800
0x04f04c: 0x54540000
0x04f050: 0xc0000000
0x04f054: 0x0000422d
0x04f100: 0x00000001
0x050000: 0x000000f1
0x050008: 0xc0000050
0x050010: 0x000000ff
0x050014: 0x00000007
0x050050: 0x7adc00f1
0x050070: 0x1f8c6469
0x050080: 0x00004023
0x050084: 0x000ea000
0x050088: 0x0232041b
0x0500ac: 0x000ea000
0x060000: 0x05c10555
0x060004: 0x05c10555
0x060008: 0x058b0575
0x06000c: 0x030f02ff
0x060010: 0x030f02ff
0x060014: 0x03050301
0x06001c: 0x055502ff
0x060030: 0x7e24f5c2
0x060034: 0x00400000
0x060040: 0x00020da7
0x060044: 0x00080000
0x060100: 0xb0044000
0x060110: 0x00000080
0x061100: 0x00040000
0x061110: 0x00000080
0x064000: 0x00000018
0x064010: 0x01450000
0x066008: 0x334b7be6
0x06600c: 0xce16c333
0x066108: 0x94412a34
0x06610c: 0x363bd247
0x066e18: 0x0000c556
0x068000: 0x00006453
0x068004: 0x00006453
0x068008: 0x00007f53
0x06800c: 0x00007f53
0x068018: 0x00003f40
0x06801c: 0x00003f40
0x068020: 0x00006453
0x068024: 0x00006453
0x068028: 0x00007f53
0x06802c: 0x00007f53
0x068038: 0x00003f40
0x06803c: 0x00003f40
0x068040: 0x00006453
0x068044: 0x00006453
0x068048: 0x00007f53
0x06804c: 0x00007f53
0x068058: 0x00003f40
0x06805c: 0x00003f40
0x068060: 0x00006453
0x068064: 0x00006453
0x068068: 0x00007f53
0x06806c: 0x00007f53
0x068078: 0x00003f40
0x06807c: 0x00003f40
0x068084: 0x00007e80
0x068088: 0x00003f40
0x06808c: 0x00007fc0
0x068090: 0x00007d54
0x068094: 0x00007fd4
0x068098: 0x00007f54
0x06809c: 0x00007fd4
0x0680a4: 0x00007e80
0x0680a8: 0x00003f40
0x0680ac: 0x00007fc0
0x0680b0: 0x00007d54
0x0680b4: 0x00007fd4
0x0680b8: 0x00007f54
0x0680bc: 0x00007fd4
0x0680c4: 0x00007e80
0x0680c8: 0x00003f40
0x0680cc: 0x00007fc0
0x0680d0: 0x00007d54
0x0680d4: 0x00007fd4
0x0680d8: 0x00007f54
0x0680dc: 0x00007fd4
0x0680e4: 0x00007e80
0x0680e8: 0x00003f40
0x0680ec: 0x00007fc0
0x0680f0: 0x00007d54
0x0680f4: 0x00007fd4
0x0680f8: 0x00007f54
0x0680fc: 0x00007fd4
0x068800: 0x00006453
0x068804: 0x00006453
0x068808: 0x00006453
0x06880c: 0x00006453
0x068820: 0x00006453
0x068824: 0x00006453
0x068828: 0x00006453
0x06882c: 0x00006453
0x068840: 0x00006453
0x068844: 0x00006453
0x068848: 0x00006453
0x06884c: 0x00006453
0x068860: 0x00006453
0x068864: 0x00006453
0x068868: 0x00006453
0x06886c: 0x00006453
0x06c000: 0xe8780200
0x06c004: 0x00001fff
0x06c014: 0x00000080
0x06c018: 0x00000800
0x06c01c: 0x000587fa
0x06c020: 0x01200000
0x06c024: 0x8e97861c
0x06c028: 0x00180000
0x06c02c: 0x00000b76
0x06c030: 0x00000b6d
0x06c034: 0x00000925
0x070000: 0x0000015a
0x070008: 0xc0000050
0x070010: 0x000000ff
0x070014: 0x00000007
0x070040: 0x00007adc
0x070044: 0x00001033
0x070048: 0x1f8c4ee3
0x07004c: 0x1f8b1946
0x070050: 0x7adc015a
0x070070: 0x1f8c6d26
0x070080: 0x00004023
0x070084: 0x000ea000
0x070088: 0x0232041b
0x0700ac: 0x000ea000
0x070180: 0x98004400
0x070188: 0x00001600
0x07019c: 0x00715000
0x0701ac: 0x00715000
0x071010: 0x000000ff
0x071044: 0x00000006
0x07104c: 0x00c282a4
0x071180: 0x00004000
0x072304: 0x04010040
0x072308: 0x08020080
0x07230c: 0x0c0300c0
0x072310: 0x10040100
0x072314: 0x14050140
0x072318: 0x18060180
0x07231c: 0x1c0701c0
0x072320: 0x20080200
0x072324: 0x24090240
0x072328: 0x280a0280
0x07232c: 0x2c0b02c0
0x072330: 0x300c0300
0x072334: 0x340d0340
0x072338: 0x380e0380
0x07233c: 0x3c0f03c0
0x072340: 0x00000400
0x072344: 0x00000400
0x072348: 0x00000400
0x073304: 0x04010040
0x073308: 0x08020080
0x07330c: 0x0c0300c0
0x073310: 0x10040100
0x073314: 0x14050140
0x073318: 0x18060180
0x07331c: 0x1c0701c0
0x073320: 0x20080200
0x073324: 0x24090240
0x073328: 0x280a0280
0x07332c: 0x2c0b02c0
0x073330: 0x300c0300
0x073334: 0x340d0340
0x073338: 0x380e0380
0x07333c: 0x3c0f03c0
0x073340: 0x00000400
0x073344: 0x00000400
0x073348: 0x00000400
0x080000: 0xffffffff
0x080004: 0xffffffff
0x080008: 0xffffffff
0x08000c: 0xffffffff
0x080010: 0xffffffff
0x080014: 0xffffffff
0x080018: 0xffffffff
0x08001c: 0xffffffff
0x080020: 0xffffffff
0x080024: 0xffffffff
0x080028: 0xffffffff
0x08002c: 0xffffffff
0x080030: 0xffffffff
0x080034: 0xffffffff
0x080038: 0xffffffff
0x08003c: 0xffffffff
0x080040: 0xffffffff
0x080044: 0xffffffff
0x080048: 0xffffffff
0x08004c: 0xffffffff
0x080050: 0xffffffff
0x080054: 0xffffffff
0x080058: 0xffffffff
0x08005c: 0xffffffff
0x080060: 0xffffffff
0x080064: 0xffffffff
0x080068: 0xffffffff
0x08006c: 0xffffffff
0x080070: 0xffffffff
0x080074: 0xffffffff
0x080078: 0xffffffff
0x08007c: 0xffffffff
0x080080: 0xffffffff
0x080084: 0xffffffff
0x080088: 0xffffffff
0x08008c: 0xffffffff
0x080090: 0xffffffff
0x080094: 0xffffffff
0x080098: 0xffffffff
0x08009c: 0xffffffff
0x0800a0: 0xffffffff
0x0800a4: 0xffffffff
0x0800a8: 0xffffffff
0x0800ac: 0xffffffff
0x0800b0: 0xffffffff
0x0800b4: 0xffffffff
0x0800b8: 0xffffffff
0x0800bc: 0xffffffff
0x0800c0: 0xffffffff
0x0800c4: 0xffffffff
0x0800c8: 0xffffffff
0x0800cc: 0xffffffff
0x0800d0: 0xffffffff
0x0800d4: 0xffffffff
0x0800d8: 0xffffffff
0x0800dc: 0xffffffff
0x0800e0: 0xffffffff
0x0800e4: 0xffffffff
0x0800e8: 0xffffffff
0x0800ec: 0xffffffff
0x0800f0: 0xffffffff
0x0800f4: 0xffffffff
0x0800f8: 0xffffffff
0x0800fc: 0xffffffff
0x080100: 0xffffffff
0x080104: 0xffffffff
0x080108: 0xffffffff
0x08010c: 0xffffffff
0x080110: 0xffffffff
0x080114: 0xffffffff
0x080118: 0xffffffff
0x08011c: 0xffffffff
0x080120: 0xffffffff
